attribute,absFrequency,relFrequency
MERRILL,26,0.00013
MAYER,26,0.00013
ALFORD,26,0.00013
MCPHERSON,26,0.00013
ACEVEDO,26,0.00013
DONOVAN,26,0.00013
BARRERA,26,0.00013
ALBERT,26,0.00013
COTE,26,0.00013
REILLY,26,0.00013
COMPTON,26,0.00013
RAYMOND,26,0.00013
MOONEY,26,0.00013
MCGOWAN,26,0.00013
CRAFT,26,0.00013
CLEVELAND,26,0.00013
CLEMONS,26,0.00013
WYNN,26,0.00013
NIELSEN,26,0.00013
BAIRD,26,0.00013
STANTON,26,0.00013
SNIDER,26,0.00013
ROSALES,26,0.00013
BRIGHT,26,0.00013
WITT,26,0.00013
STUART,26,0.00013
HAYS,26,0.00013
HOLDEN,26,0.00013
RUTLEDGE,26,0.00013
KINNEY,26,0.00013
CLEMENTS,26,0.00013
CASTANEDA,26,0.00013
SLATER,26,0.00013
HAHN,26,0.00013
EMERSON,26,0.00013
CONRAD,26,0.00013
BURKS,26,0.00013
DELANEY,26,0.00013
PATE,26,0.00013
LANCASTER,26,0.00013
SWEET,26,0.00013
JUSTICE,26,0.00013
TYSON,26,0.00013
SHARPE,26,0.00013
WHITFIELD,26,0.00013
TALLEY,26,0.00013
MACIAS,26,0.00013
IRWIN,26,0.00013
BURRIS,26,0.00013
RATLIFF,26,0.00013
MCCRAY,26,0.00013
MADDEN,26,0.00013
KAUFMAN,26,0.00013
BEACH,26,0.00013
GOFF,26,0.00013
CASH,26,0.00013
BOLTON,26,0.00013
MCFADDEN,26,0.00013
LEVINE,26,0.00013
GOOD,26,0.00013
BYERS,26,0.00013
KIRKLAND,26,0.00013
KIDD,26,0.00013
WORKMAN,26,0.00013
CARNEY,26,0.00013
DALE,26,0.00013
MCLEOD,26,0.00013
HOLCOMB,26,0.00013
ENGLAND,26,0.00013
FINCH,26,0.00013
HEAD,24,0.00012
BURT,24,0.00012
HENDRIX,24,0.00012
SOSA,24,0.00012
HANEY,24,0.00012
FRANKS,24,0.00012
SARGENT,24,0.00012
NIEVES,24,0.00012
DOWNS,24,0.00012
RASMUSSEN,24,0.00012
BIRD,24,0.00012
HEWITT,24,0.00012
LINDSAY,24,0.00012
LE,24,0.00012
FOREMAN,24,0.00012
VALENCIA,24,0.00012
ONEIL,24,0.00012
DELACRUZ,24,0.00012
VINSON,24,0.00012
DEJESUS,24,0.00012
HYDE,24,0.00012
FORBES,24,0.00012
GILLIAM,24,0.00012
GUTHRIE,24,0.00012
WOOTEN,24,0.00012
HUBER,24,0.00012
BARLOW,24,0.00012
BOYLE,24,0.00012
MCMAHON,24,0.00012
BUCKNER,24,0.00012
ROCHA,24,0.00012
PUCKETT,24,0.00012
LANGLEY,24,0.00012
KNOWLES,24,0.00012
COOKE,24,0.00012
VELAZQUEZ,24,0.00012
WHITLEY,24,0.00012
NOEL,24,0.00012
VANG,24,0.00012
SHEA,24,0.00012
ROUSE,24,0.00012
HARTLEY,24,0.00012
MAYFIELD,24,0.00012
ELDER,24,0.00012
RANKIN,24,0.00012
HANNA,24,0.00012
COWAN,24,0.00012
LUCERO,24,0.00012
ARROYO,24,0.00012
SLAUGHTER,24,0.00012
HAAS,24,0.00012
OCONNELL,24,0.00012
MINOR,24,0.00012
KENDRICK,24,0.00012
SHIRLEY,24,0.00012
KENDALL,24,0.00012
BOUCHER,24,0.00012
ARCHER,24,0.00012
BOGGS,24,0.00012
ODELL,24,0.00012
DOUGHERTY,24,0.00012
ANDERSEN,24,0.00012
NEWELL,24,0.00012
CROWE,24,0.00012
WANG,24,0.00012
FRIEDMAN,24,0.00012
BLAND,24,0.00012
SWAIN,24,0.00012
HOLLEY,24,0.00012
FELIX,24,0.00012
PEARCE,24,0.00012
CHILDS,24,0.00012
YARBROUGH,24,0.00012
GALVAN,24,0.00012
PROCTOR,24,0.00012
MEEKS,24,0.00012
LOZANO,24,0.00012
MORA,24,0.00012
RANGEL,24,0.00012
BACON,24,0.00012
VILLANUEVA,24,0.00012
SCHAEFER,24,0.00012
ROSADO,24,0.00012
HELMS,24,0.00012
BOYCE,24,0.00012
GOSS,24,0.00012
STINSON,22,0.00011
SMART,22,0.00011
LAKE,22,0.00011
IBARRA,22,0.00011
HUTCHINS,22,0.00011
COVINGTON,22,0.00011
REYNA,22,0.00011
GREGG,22,0.00011
WERNER,22,0.00011
CROWLEY,22,0.00011
HATCHER,22,0.00011
MACKEY,22,0.00011
BUNCH,22,0.00011
WOMACK,22,0.00011
POLK,22,0.00011
JAMISON,22,0.00011
DODD,22,0.00011
CHILDRESS,22,0.00011
CHILDERS,22,0.00011
CAMP,22,0.00011
VILLA,22,0.00011
